Comment,Designator,Footprint,LCSC Part #
MINISTM32F4X1,U$1,MINISTM32F4X1,
PINHD-1X4,JP1,1X04,
PINHD-1X4/90,JP2 JP3 JP4 JP5 JP6,1X04/90,
TSSP4038,IC1 IC2 IC3 IC4 IC5 IC6 IC7 IC8 IC9 IC10 IC11 IC12,TSSP4038,
